*Date of Rally*,*City*,*State*,*Venue*,*Estimated Visitors*,*Source*,County Name
"Wednesday, June 17, 2015",Manchester,NH,Manchester Community College,300,[1],Hillsborough 
"Saturday, July 11, 2015",Phoenix,AZ,Phoenix Convention Center,"15,000",[2],Maricopa 
"Tuesday, July 21, 2015",Sun City,SC,Magnolia Hall,500,[3],Jasper 
"Saturday, July 25, 2015",Oskaloosa,IA,Oskaloosa High School,"1,000",[4],Mahasaka
"Friday, August 14, 2015",Hampton,NH,Winnacunnet High School,"3,000",[5],Rockingham
"Friday, August 21, 2015",Mobile,AL,Ladd–Peebles Stadium,"15–30,000",[6],Mobile
"Tuesday, August 25, 2015",Dubuque,IA,Grand River Center,"3,000",[7],Dubuque
"Thursday, August 27, 2015",Greenville,SC,TD Convention Center,"1,400",[8],Greenville
"Friday, August 28, 2015",Norwood,MA,"Home of Ernie Boch, Jr.","1,500–2,000",[9][10],Norfolk
"Monday, September 14, 2015",Dallas,TX,American Airlines Center,"15,000",[11],Dallas
"Tuesday, September 15, 2015",Los Angeles,CA,USS *Iowa*,"1,000",[12],Los Angeles
"Friday, September 25, 2015",Oklahoma City,OK,Oklahoma State Fair,"15,000",[13],Cleveland
"Wednesday, September 30, 2015",Keene,NH,Keene High School,"3,500",[14],Cheshire
"Saturday, October 3, 2015",Franklin,TN,Dortch Stove Works,,[15],Williamson
"Wednesday, October 7, 2015",Waterloo,IA,Electric Park Ballroom,"1,100",[16],Black Hawk
"Saturday, October 10, 2015",Norcross,GA,North Atlanta Trade Center,"7,700",[17],Gwinnett 
"Friday, October 16, 2015",Tyngsboro,MA,Tyngsboro Elementary School,"1,000",[10],Middlesex
"Monday, October 19, 2015",Anderson,SC,Civic Center of Anderson,"5,000",[18],Anderson
"Saturday, October 24, 2015",Jacksonville,FL,Jacksonville Landing,"20,000",[19],Duval
"Tuesday, October 27, 2015",Sioux City,IA,West High School,"2,200",[20],Woodbury
"Thursday, October 29, 2015",Sparks,NV,Nugget Casino Resort,"2,000",[21],Washoe 
"Saturday, October 31, 2015",Norfolk,VA,USS *Wisconsin*,"2,000",[22],Norfolk
"Monday, November 9, 2015",Springfield,IL,Prairie Capital Convention Center,"10,200",[23],Sangamon
"Thursday, November 12, 2015",Fort Dodge,IA,Iowa Central Community College,"1,500",[24],Webster
"Saturday, November 14, 2015",Beaumont,TX,Ford Arena,,[25][26],Jefferson 
"Monday, November 16, 2015",Knoxville,TN,Knoxville Convention Center,"5,000",[27][28],Knox
"Wednesday, November 18, 2015",Worcester,MA,DCU Center,"10,500",[29],Worcester
"Thursday, November 19, 2015",Newton,IA,"Maytag Auditorium, DMACC Newton Campus",400,[30],Jasper 
"Saturday, November 21, 2015",Birmingham,AL,Birmingham–Jefferson Convention Complex,"3,000",[31],Jefferson 
"Monday, November 23, 2015",Columbus,OH,Greater Columbus Convention Center,"14,000",[32],Franklin
"Tuesday, November 24, 2015",Myrtle Beach,SC,Myrtle Beach Convention Center,"8,000",[33][34],Horry
"Saturday, November 28, 2015",Sarasota,FL,Robarts Arena,"9,000",[35],Sarasota
"Monday, November 30, 2015",Macon,GA,Macon Coliseum,"6,000",[36],Bibb
"Tuesday, December 1, 2015",Waterville Valley,NH,White Mountain Athletic Club,900,[37],Grafton
"Wednesday, December 2, 2015",Manassas,VA,Prince William County Fairgrounds,,[38],Prince William
"Friday, December 4, 2015",Raleigh,NC,Dorton Arena,"8,000",[39][40],Wake
"Saturday, December 5, 2015",Davenport,IA,Mississippi Valley Fairgrounds,"1,700",[41],Scott
"Saturday, December 5, 2015",Spencer,IA,Clay County Regional Events Center,"1,300",[42],Clay
"Monday, December 7, 2015",Mount Pleasant,SC,USS *Yorktown*,,[43],Charleston
"Friday, December 11, 2015",Des Moines,IA,"Varied Industries Building, Iowa State Fairgrounds","2,500",[44],Polk
"Saturday, December 12, 2015",Aiken,SC,USC Aiken Convocation Center,,[45],Aiken
"Monday, December 14, 2015",Las Vegas,NV,Westgate Las Vegas Resort & Casino,,[46],Clark
"Wednesday, December 16, 2015",Mesa,AZ,Phoenix–Mesa Gateway Airport,"3,100",[47],Maricopa 
"Saturday, December 19, 2015",Cedar Rapids,IA,Veterans Memorial Coliseum,"1,200",[48],Linn
"Monday, December 21, 2015",Grand Rapids,MI,DeltaPlex Arena,"7,000",[49],Kent
"Monday, December 28, 2015",Nashua,NH,Pennichuck Middle School,"1,000",[50],Hillsborough 
"Tuesday, December 29, 2015",Council Bluffs,IA,Mid-America Center,,[51],Pottawattamie
"Wednesday, December 30, 2015",Hilton Head,SC,The Westin Hilton Head Island Resort & Spa,"2,500",[52],Beaufort
"Saturday, January 2, 2016",Biloxi,MS,Mississippi Coast Coliseum,"15,000",[53],Harrison
"Monday, January 4, 2016",Lowell,MA,Tsongas Center,,[54],Middlesex
"Tuesday, January 5, 2016",Claremont,NH,Stevens High School,"1,200",[55],Sullivan
"Thursday, January 7, 2016",Burlington,VT,Flynn Center for the Performing Arts,"1,400",[56],Chittenden
"Friday, January 8, 2016",Rock Hill,SC,Winthrop Coliseum,"6,500",[57],York
"Saturday, January 9, 2016",Clear Lake,IA,Surf Ballroom,"1,700",[58],Cerro Gordo
"Saturday, January 9, 2016",Ottumwa,IA,Bridgeview Center,,[59],Wapello
"Sunday, January 10, 2016",Reno,NV,Reno Events Center,"4,000",[60],Washoe 
"Monday, January 11, 2016",Windham,NH,Castleton Banquet and Conference Center,600,[61],Rockingham
"Tuesday, January 12, 2016",Cedar Falls,IA,"West Gymnasium, University of Northern Iowa","2,000",[62],Black Hawk
"Wednesday, January 13, 2016",Pensacola,FL,Pensacola Bay Center,"10,000",[63],Escambia
"Friday, January 15, 2016",Urbandale,IA,Living History Farms Visitor Center,100,[64],Polk
"Monday, January 18, 2016",Concord,NH,Concord High School,700,[65],Merrimack
"Monday, January 18, 2016",Lynchburg,VA,"Vines Center, Liberty University","10,000",[66],Campbell
"Tuesday, January 19, 2016",Ames,IA,"Hansen Agriculture Student Learning Center, Iowa State University","2,000",[67],Story
"Wednesday, January 20, 2016",Norwalk,IA,The Wright Place,300,[68],Warren
